Date,Open
08/26/2018,5.76
08/27/2018,5.76
08/28/2018,6.31
08/29/2018,6.22
08/30/2018,6.1
08/31/2018,6.3
09/01/2018,6.19
09/02/2018,6.19
09/03/2018,6.19
09/04/2018,6.19
09/05/2018,5.71
09/06/2018,5.68
09/07/2018,4.3
09/08/2018,4.5
09/09/2018,4.5
09/10/2018,4.5
09/11/2018,4.29
09/12/2018,3.74
09/13/2018,3.8
09/14/2018,3.94
09/15/2018,3.81
09/16/2018,3.81
09/17/2018,3.81
09/18/2018,3.89
09/19/2018,4.12
09/20/2018,4.09
09/21/2018,3.99
09/22/2018,4.08
09/23/2018,4.08
09/24/2018,4.08
09/25/2018,3.95
09/26/2018,3.82
09/27/2018,3.78
09/28/2018,3.65
09/29/2018,3.45
09/30/2018,3.45
10/01/2018,3.45
10/02/2018,3.42
10/03/2018,3.4321
10/04/2018,3.36
10/05/2018,3.02
10/06/2018,2.85
10/07/2018,2.85
10/08/2018,2.85
10/09/2018,2.71
10/10/2018,2.17
10/11/2018,2.16
10/12/2018,2.57
10/13/2018,2.7
10/14/2018,2.7
10/15/2018,2.7
10/16/2018,2.96
10/17/2018,2.72
10/18/2018,2.53
10/19/2018,2.48
10/20/2018,2.39
10/21/2018,2.39
10/22/2018,2.39
10/23/2018,2.4
10/24/2018,2.37
10/25/2018,2.42
10/26/2018,2.52
10/27/2018,2.41
10/28/2018,2.41
10/29/2018,2.41
10/30/2018,2.28
10/31/2018,2.36
11/01/2018,2.56
11/02/2018,2.54
11/03/2018,2.51
11/04/2018,2.51
11/05/2018,2.51
11/06/2018,2.95
11/07/2018,2.9
11/08/2018,2.57
11/09/2018,2.56
11/10/2018,2.36
11/11/2018,2.36
11/12/2018,2.36
11/13/2018,2.5
11/14/2018,2.2
11/15/2018,2.245
11/16/2018,2.19
11/17/2018,1.89
11/18/2018,1.89
11/19/2018,1.89
11/20/2018,1.85
11/21/2018,1.91
11/22/2018,1.85
11/23/2018,1.85
11/24/2018,1.83
11/25/2018,1.83
11/26/2018,1.83
11/27/2018,1.77
11/28/2018,2.09
11/29/2018,1.95
11/30/2018,1.86
12/01/2018,1.83
12/02/2018,1.83
12/03/2018,1.83
12/04/2018,1.76
12/05/2018,1.79
12/06/2018,1.79
12/07/2018,1.73
12/08/2018,1.69
12/09/2018,1.69
12/10/2018,1.69
12/11/2018,1.54
12/12/2018,1.605
12/13/2018,1.54
12/14/2018,1.35
12/15/2018,1.79
12/16/2018,1.79
12/17/2018,1.79
12/18/2018,1.77
12/19/2018,1.89
12/20/2018,1.71
12/21/2018,1.5
12/22/2018,1.44
12/23/2018,1.44
12/24/2018,1.44
12/25/2018,1.49
12/26/2018,1.49
12/27/2018,1.64
12/28/2018,1.57
12/29/2018,1.51
12/30/2018,1.51
12/31/2018,1.51
01/01/2019,1.71
01/02/2019,1.71
01/03/2019,1.54
01/04/2019,1.65
01/05/2019,1.63
01/06/2019,1.63
01/07/2019,1.63
01/08/2019,1.7
01/09/2019,1.73
01/10/2019,1.63
01/11/2019,1.62
01/12/2019,1.62
01/13/2019,1.62
01/14/2019,1.62
01/15/2019,1.62
01/16/2019,1.6
01/17/2019,1.55
01/18/2019,1.63
01/19/2019,1.57
01/20/2019,1.57
01/21/2019,1.57
