"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2020","117.79","113.83","117.91","113.55","58.39K","2.98%"
"Jun 24, 2020","114.38","117.07","117.07","114.05","56.41K","-2.69%"
"Jun 23, 2020","117.54","119.27","119.58","117.22","49.68K","-0.99%"
"Jun 22, 2020","118.71","119.01","119.99","117.47","63.87K","0.44%"
"Jun 19, 2020","118.19","120.86","120.86","115.69","488.14K","-1.06%"
"Jun 18, 2020","119.46","120.59","121.43","118.27","86.50K","-1.86%"
"Jun 17, 2020","121.73","122.75","122.75","120.14","49.86K","-0.19%"
"Jun 16, 2020","121.96","125.79","126.13","121.11","42.21K","-0.58%"
"Jun 15, 2020","122.67","115.78","123.89","115.08","110.79K","3.94%"
"Jun 12, 2020","118.02","120.29","121.93","115.76","65.25K","0.58%"
"Jun 11, 2020","117.34","121.60","121.60","116.99","68.25K","-5.31%"
"Jun 10, 2020","123.92","125.90","125.90","123.05","54.06K","-1.40%"
"Jun 09, 2020","125.68","125.03","126.31","123.13","38.77K","-0.54%"
"Jun 08, 2020","126.36","125.52","127.82","123.61","69.60K","0.92%"
"Jun 05, 2020","125.21","128.43","128.70","124.82","54.98K","-0.07%"
"Jun 04, 2020","125.30","128.04","128.74","123.62","61.84K","-3.34%"
"Jun 03, 2020","129.63","122.51","130.48","121.78","77.41K","7.05%"
"Jun 02, 2020","121.09","122.45","122.88","120.31","93.65K","-1.23%"
"Jun 01, 2020","122.60","124.99","124.99","122.60","75.09K","-1.51%"
"May 29, 2020","124.48","124.45","125.14","123.90","75.04K","-0.69%"
"May 28, 2020","125.34","126.78","127.35","124.86","76.44K","-0.46%"
"May 27, 2020","125.92","126.34","126.65","124.04","63.17K","0.97%"
"May 26, 2020","124.71","124.00","124.98","122.85","100.99K","1.91%"
"May 22, 2020","122.37","121.36","122.47","120.68","79.90K","1.37%"
"May 21, 2020","120.72","120.40","122.05","119.62","99.04K","-0.43%"
"May 20, 2020","121.24","120.80","121.96","118.24","59.65K","1.83%"
"May 19, 2020","119.06","120.74","122.68","118.79","82.84K","-0.89%"
"May 18, 2020","120.13","118.81","120.70","118.81","84.59K","3.94%"
"May 15, 2020","115.58","112.95","117.02","112.51","184.17K","2.09%"
"May 14, 2020","113.21","112.07","113.56","109.64","124.78K","-1.51%"
"May 13, 2020","114.95","119.57","119.57","114.75","56.79K","-4.30%"
"May 12, 2020","120.11","124.23","124.23","119.63","69.69K","-3.00%"
